restaurant;servingSize;calories;totalFat;saturatedFat;transFat;sodiumInMg;carbs;sugars;protein
McDonalds;98;240;8;3;0;480;32;6;12
McDonalds;113;290;11;5;0.5;680;33;7;15
McDonalds;211;530;27;10;1;960;47;9;24
McDonalds;202;520;26;12;1.5;1100;41;10;30
McDonalds;270;720;40;15;1.5;1470;51;14;39
McDonalds;283;750;43;19;2.5;1280;42;10;48
Burger King;93;220;8;3;0.5;380;26;6;11
Burger King;104;270;12;5;0.5;560;27;7;13
Burger King;260;630;38;11;1.5;810;49;11;26
Burger King;279;750;49;16;2;1260;46;8;33
Burger King;341;850;54;18;2.5;870;49;11;43
Burger King;327;1040;69;28;2.5;1900;48;10;57
Wendys;102;250;10;4;1;600;25;5;14
Wendys;113;290;13;6;1;800;26;6;16
Wendys;247;580;31;13;2;1220;42;10;30
Wendys;329;820;47;20;3;1510;42;10;48
Wendys;423;1090;66;29;4;1990;43;11;69
Wendys;295;940;56;23;3;1890;41;9;57
Wendys;211;670;37;15;2;1670;41;9;38
Jack in the Box;105;280;11;4;0.5;680;32;5;14
Jack in the Box;106;320;14;6;1;880;32;6;16
Jack in the Box;218;490;23;8;1.5;910;44;7;26
Jack in the Box;284;910;56;24;3;2190;44;7;57
Jack in the Box;181;560;30;12;1.5;1170;43;6;29
Jack in the Box;153;470;19;7;1;920;33;6;16
Jack in the Box;370;1030;71;23;2.5;1990;52;9;41
Jack in the Box;223;660;41;15;1.5;1450;40;8;35
Sonic;113;330;17;6;0.5;480;30;3;15
Sonic;131;390;23;9;0.5;810;31;3;19
Sonic;265;650;37;14;1.5;840;46;10;31
Sonic;396;1240;87;35;3.5;1690;44;8;67
Sonic;278;820;54;20;2;1260;43;7;39
Sonic;304;710;43;17;1.5;1120;43;8;35
Dairy Queen;156;380;19;8;1;920;34;8;21
Dairy Queen;227;520;28;11;1;1110;43;10;25
Dairy Queen;193;560;33;12;1;890;39;5;27
Dairy Queen;313;770;46;20;1.5;1410;43;10;45
Dairy Queen;226;580;34;16;1.5;1240;35;9;37
Dairy Queen;243;620;36;14;1;1320;41;9;34
Carls Jr.;130;302;12;4.8;0;569;33.6;5.6;17.7
Carls Jr.;144;351;15.9;7.5;0;733;34.2;5.8;20.5
Carls Jr.;277;591;43.7;14.1;0.4;1143;54;9.9;29.7
Carls Jr.;390;930;56;23;2;1540;59;14;48
Carls Jr.;250;750;35;14;1;1650;75;16;36
Carls Jr.;316;630;29;11;1;1070;65;20;28
Carls Jr.;321;920;68;23;2;1380;56;12;47
Carls Jr.;416;1020;70;27;3.5;1760;59;19;39
Hardees;195;500;22;5;0;1080;61;7;16
Hardees;207;550;26;6;0;1300;61;7;18
Hardees;358;820;43;16;0;1660;56;15;32
Hardees;424;1030;70;24;1;2240;57;16;45
Hardees;267;690;40;15;1;1630;52;11;34
Hardees;348;900;59;18;1;1680;54;13;40
Hardees;467;1140;79;27;2;2460;58;17;56
White Castle;44;140;6;2.5;0.5;360;13;1;7
White Castle;63;160;9;4;0.5;500;14;2;8
White Castle;67;220;14;6;0.5;640;13;2;11
White Castle;113;300;17;8;1;940;20;3;15
White Castle;121;400;27;12;1;1220;21;2;21
Whataburger;168;310;11;4;0;750;37;6;14
Whataburger;190;400;18;7;0;1140;37;6;21
Whataburger;316;590;25;8;1;1220;62;12;29
Whataburger;331;940;61;21;2;1760;45;6;49
Whataburger;400;830;44;14;2;1470;62;12;47
Whataburger;361;990;54;19;2;2080;68;18;55
Whataburger;373;1110;69;26;2;1660;61;12;60
In-N-Out Burger;243;390;19;5;0;650;39;10;16
In-N-Out Burger;268;480;27;10;0.5;1000;39;10;22
In-N-Out Burger;330;670;41;18;1;1440;39;10;37
